distance,mode,electricity,food,shopping,co2
12.5,car,6.2,non-veg,3,43.86
5.2,bike,3.1,veg,1,10.47
18.7,bus,7.5,non-veg,4,39.64
2.3,walk,2.0,veg,0,3.10
25.6,car,10.2,non-veg,5,74.26
8.1,bike,4.5,veg,2,14.96
14.2,bus,6.8,non-veg,3,31.76
3.5,walk,2.5,veg,1,4.80
30.4,car,12.0,non-veg,6,89.72
6.7,bike,3.9,veg,2,13.02
20.1,bus,8.3,non-veg,4,41.74
4.0,walk,1.8,veg,1,3.94
16.8,car,7.5,non-veg,3,52.44
7.3,bike,4.2,veg,2,13.86
22.5,bus,9.1,non-veg,5,48.92
1.5,walk,1.2,veg,0,2.46
27.9,car,11.5,non-veg,6,84.67
9.4,bike,5.0,veg,3,16.20
19.2,bus,7.8,non-veg,4,40.36
2.8,walk,2.3,veg,1,4.04
24.7,car,9.8,non-veg,5,71.26
10.5,bike,4.8,veg,2,15.94
21.3,bus,8.9,non-veg,4,45.14
3.2,walk,1.9,veg,1,3.76
28.6,car,12.4,non-veg,6,88.28
6.9,bike,3.7,veg,2,12.96
17.4,bus,7.2,non-veg,3,36.66
4.6,walk,2.1,veg,1,4.28
26.3,car,10.9,non-veg,5,78.62
8.8,bike,4.6,veg,2,14.92
23.1,bus,9.4,non-veg,4,47.66
2.1,walk,1.5,veg,0,2.70
29.5,car,11.8,non-veg,6,87.94
7.6,bike,4.1,veg,2,13.64
18.9,bus,8.0,non-veg,4,40.72
3.9,walk,2.2,veg,1,4.06
25.2,car,10.3,non-veg,5,73.36
9.1,bike,4.9,veg,3,15.88
20.7,bus,8.5,non-veg,4,43.18
2.6,walk,2.0,veg,1,3.90
27.1,car,11.2,non-veg,6,82.36
6.4,bike,3.5,veg,2,12.48
16.3,bus,6.9,non-veg,3,34.22
4.3,walk,2.4,veg,1,4.22
30.0,car,12.6,non-veg,6,90.48
8.3,bike,4.3,veg,2,14.26
21.9,bus,9.0,non-veg,4,45.66
3.1,walk,1.7,veg,1,3.64
24.0,car,9.5,non-veg,5,69.50
10.2,bike,5.1,veg,3,16.82
22.8,bus,9.2,non-veg,4,46.92
2.4,walk,1.6,veg,0,2.88
28.0,car,11.0,non-veg,6,84.60
7.1,bike,3.8,veg,2,13.08
17.9,bus,7.6,non-veg,3,37.42
4.8,walk,2.3,veg,1,4.34
26.8,car,10.7,non-veg,5,77.66
9.7,bike,4.7,veg,2,15.20
23.6,bus,9.3,non-veg,4,47.98
2.0,walk,1.4,veg,0,2.62
